2100
0.01
0.01
0.1
100000
9
Minimal aGF shell: 0.284605	0.284605
Minimal GF1 shell:  2.5	2.5
Minimal GF2 shell:  3.75	6.25

5	0.15559	0.15513	0.40859	0.00088	0.00073	0.00045
55	0.22913	0.22918	3.46913	0.00002	0.00004	0.00689
550	0.25022	0.25325	47.91263	0.00028	0.00152	0.04544
5500	1.59117	1.96828	834.82715	0.00941	0.02862	1.31852

5	0.0	0.0	0.0	0.0
55	0.1	0.1	0.1	0.1
550	5.6	9.3	2.2	2.3
5500	543.5	667.5	33.6	34.3

5	33.2	33.3	0.3	0.2
55	370.3	369.3	1.6	0.8
550	3774.2	3699.4	30.4	13.5
5500	46013.5	39403.0	512.3	7.8

5	0.0	0.0	0.0	0.0
55	17.5	96.6	17.5	68.4
550	729.3	7246.2	353.0	2822.1
5500	73091.0	655849.0	9667.6	36586.4

